Nr,Artist,Artwork1,size cm (w x h),"m&t, YYYY",price (incl. 25%)
1,Alice van Wouw,Drawing of Sade,42 x 30,Graphite pencil on paper,1000
2,Alice van Wouw,Drawing of Ndumiso,42 x 30,Coloured Pencil on Paper,1000
3,Andr&eacute; Clements,"Blue, Man",50 x 43,"Oil on metal, 2025",3333.33
4,Andr&eacute; Clements,Anqa,42 x 55,"Archival pigment print, parametric authorship (layered computational interventions with original photograph), 2025.",3333.33
5,Annette Wietzorrek,Rosebud,64 x 88,"Charcoal & watercolour on paper, 2025",2700
6,Annette Wietzorrek,Feeling stuck,64 x 88,"Charcoal & watercolour on paper, 2025",2700
7,Charles Foley,Life-drawing nude study,30 x 42,Pastels on paper,600
8,Curt Wildschutt,Reclining Nude,~30 x 21,"Pencil on paper, 2025",400
9,Curt Wildschutt,Sitting Nude,~30 x 21,"Pencil on paper, 2025",400
10,Daisy Levington,Figure Skating,30 x 42,Mixed media,NFS
11,David Forbes,Seated Nude,30 x 42,"Ballpoint pen, freehand live drawing, 2025",500
12,David Forbes,Nude,30 x 42,"Ballpoint pen, freehand live drawing (5 minutes), 2025",300
13,Diane Victor,Chicken,42 x 59,Drawing on paper,2000
14,Diane Victor,(title forgotten),61 x 86,Drawing on paper,2666.66
15,Elli Wahl,Metamorphosis in blue,35 x 50,Oil on alupanel,NFS
16,Elli Wahl,Between Shadow and Form,34 x 45,Oil on panel,3333.33
17,Gustav Krantz,Tuesday. Thulani's sleeping,~30 x 50,"Painting on Canvas, 2025",2850
18,Gustav Krantz,Two Vessels for storing rice,25 x 25 x 15,"Wood, aluminium. Sculpture, 2025",2250
19,Heinrich Meyer,Untitled,42 x 59,Pastels on paper,
20,Heinrich Meyer,Untitled,50 x 50,Paint on canvas,
21,Kaz Clements aka Ro4dblock,Untitled (blue pink white),30 x 42,"Digital Illustration, 2025",444
22,Kaz Clements aka Ro4dblock,Tokie,30 x 42,"Digital Illustration, 2025",444
23,Kevin Richard John Berry,Tranquility,42 x 29,Charcoal and graphite on paper,1600
24,Kevin Richard John Berry,Serenity,42 x 29,Marker and charcoal on paper,1600
25,Kyrie Levington,Movement in Time,40 x 50,Oil on canvas,3500
26,Kyrie Levington,Front to Back #2,40 x 50,Oil on canvas,3500
27,Loreal Vos,Seated man,46 x 61,"Pencil and water soluble graphite on Arches watercolour paper, 2023",3500
28,Loreal Vos,Rear view,46 x 61,"Pencil and water soluble graphite on Arches watercolour paper, 2023",3500
29,Luci Badenhorst,Ocean in Me,30 x 42,"Pigment Archival Digital Art Print, 2025",1100
30,Luci Badenhorst,Beneath Myself,30 x 42,"Pigment Archival Digital Art Print, 2025",1100
31,Michelle Laubscher J&auml;ger,Reclining figure gesture,59 x 42,Charcoal,900
32,Michelle Laubscher J&auml;ger,Saturday Morning,59 x 42,"Charcoal, acetone",1500
33,Nicole Fabry,Turn,59 x 84,"Charcoal pencil line drawing and cross hatching, 2024",3500
34,Nicole Fabry,Repose,51 x 58,"Watercolor pencil, contour drawing, 2025",3300
35,Xavier Huyberechts,Witklipfontein rocks,100 x 70,"Charcoal on paper, 2019",3333.33
36,Xavier Huyberechts,Andr&eacute;'s weapon,50 x 70,"Charcoal on Fabriano paper, 2022",3333.33
37,Yakkov Seidman,Imagine (diptych),60 x 45,"Ink on paper, 2025",2400
38,Yakkov Seidman,Eshet Hail,35 x 30,"Etching, 2002",2400
